,district,mandal,month,rain,temp,humidity,N,P,K,pH
98,Jangaon,Kodakandla,1,1.32,22.98833333,75.01666667,0.0,0.0,0.0,0.0
99,Jangaon,Lingalaghanpur,1,2.146666667,22.39833333,74.26166667,0.0,0.0,0.0,0.0
100,Jangaon,Narmetta,1,1.933333333,23.06666667,77.10833333,0.0,0.0,0.0,0.0
101,Jangaon,Palakurthi,1,3.09,23.06166667,75.365,0.0,0.0,0.0,0.0
102,Jangaon,Raghunathpalle,1,2.51,22.06833333,71.635,0.0,0.0,0.0,0.0
103,Jangaon,Tharigoppula,1,1.526666667,22.4,74.70166667,0.0,0.0,0.0,0.0
104,Jangaon,Zaffergadh,1,2.51,23.57166667,74.93833333,0.0,0.0,0.0,0.0
105,Jayashankar,Bhupalpalle,1,1.82,23.415,74.57,0.0,0.0,0.0,0.0
106,Jayashankar,Chityal,1,1.226666667,23.025,75.70666667,0.0,0.0,0.0,0.0
107,Jayashankar,Ghanapur_Mulug,1,1.046666667,23.225,73.79166667,0.0,0.0,0.0,0.0
108,Jayashankar,Kataram,1,1.873333333,22.74666667,75.56,0.0,0.0,0.0,0.0
109,Jayashankar,Mahadevpur,1,1.696666667,22.83,73.375,0.0,0.0,0.0,0.0
110,Jayashankar,Malharrao,1,1.363333333,22.74166667,74.05166667,0.0,0.0,0.0,0.0
111,Jayashankar,Mogullapalle,1,2.4,22.35,74.43166667,0.0,0.0,0.0,0.0
112,Jayashankar,Mutharam_Mahadevpur,1,1.006666667,22.305,72.17333333,0.0,0.0,0.0,0.0
113,Jayashankar,Palmela,1,2.46,22.97166667,71.15166667,0.0,0.0,0.0,0.0
114,Jayashankar,Regonda,1,1.683333333,23.01333333,71.17833333,0.0,0.0,0.0,0.0
115,Jayashankar,Tekumatla,1,2.57,22.73,73.89666667,0.0,0.0,0.0,0.0
116,Jogulamba Gadwal,Aiza,1,0.006666667,24.34333333,64.85333333,0.0,0.0,0.0,0.0
117,Jogulamba Gadwal,Alampur,1,1.253333333,24.87833333,64.87166667,0.0,0.0,0.0,0.0
118,Jogulamba Gadwal,Dharur,1,0.226666667,24.30166667,66.965,0.0,0.0,0.0,0.0
119,Jogulamba Gadwal,Gadwal,1,0.04,24.56333333,65.265,0.0,0.0,0.0,0.0
120,Jogulamba Gadwal,Ghattu,1,0.253333333,24.14,63.17,0.0,0.0,0.0,0.0
121,Jogulamba Gadwal,Itikyal,1,0.0,24.27166667,67.23166667,0.0,0.0,0.0,0.0
122,Jogulamba Gadwal,Kaloor_Timmanadoddi,1,0.133333333,24.49,62.20833333,0.0,0.0,0.0,0.0
123,Jogulamba Gadwal,Maldakal,1,0.096666667,24.155,69.51166667,0.0,0.0,0.0,0.0
124,Jogulamba Gadwal,Manopad,1,0.54,23.05833333,65.01,0.0,0.0,0.0,0.0
125,Jogulamba Gadwal,Rajoli,1,0.0,23.95833333,72.30833333,0.0,0.0,0.0,0.0
126,Jogulamba Gadwal,Rajoli,1,0.606666667,23.56166667,70.69,0.0,0.0,0.0,0.0
127,Jogulamba Gadwal,Undavelli,1,0.0,23.92333333,67.34333333,0.0,0.0,0.0,0.0
128,Jogulamba Gadwal,Waddepalle,1,0.66,23.41333333,68.73333333,0.0,0.0,0.0,0.0
129,Kamareddy,Banswada,1,0.273333333,22.94666667,70.05333333,0.0,0.0,0.0,0.0
130,Kamareddy,Bhiknur,1,1.043333333,22.06833333,73.065,0.0,0.0,0.0,0.0
131,Kamareddy,Bibipet,1,0.523333333,22.51833333,72.32,0.0,0.0,0.0,0.0
132,Kamareddy,Bichkunda,1,0.343333333,22.28333333,68.24,0.0,0.0,0.0,0.0
133,Kamareddy,Birkoor,1,0.84,23.33666667,63.69333333,0.0,0.0,0.0,0.0
134,Kamareddy,Domakonda,1,0.11,22.11,68.64333333,0.0,0.0,0.0,0.0
135,Kamareddy,Gandhari,1,0.23,21.42833333,70.915,0.0,0.0,0.0,0.0
136,Kamareddy,Jukkal,1,0.81,23.77166667,68.59166667,0.0,0.0,0.0,0.0
137,Kamareddy,Kamareddy,1,0.466666667,23.25,70.46,0.0,0.0,0.0,0.0
138,Kamareddy,Lingampet,1,1.35,21.63,70.71166667,0.0,0.0,0.0,0.0
139,Kamareddy,Machareddy,1,0.443333333,22.11166667,69.225,0.0,0.0,0.0,0.0
140,Kamareddy,Madnur,1,0.69,22.83333333,65.42666667,0.0,0.0,0.0,0.0
141,Kamareddy,Naga_Reddipet,1,0.49,22.37833333,66.13666667,0.0,0.0,0.0,0.0
142,Kamareddy,Nasurullabad,1,0.166666667,22.84666667,67.17666667,0.0,0.0,0.0,0.0
143,Kamareddy,Nizamsagar,1,0.043333333,22.815,70.80166667,0.0,0.0,0.0,0.0
144,Kamareddy,Pedda Kodapgal,1,0.076666667,22.23166667,74.545,0.0,0.0,0.0,0.0
145,Kamareddy,Pitlam,1,0.053333333,22.13666667,69.5,0.0,0.0,0.0,0.0
146,Kamareddy,Rajampet,1,0.926666667,21.51333333,68.29,0.0,0.0,0.0,0.0
147,Kamareddy,Ramareddy,1,0.626666667,21.735,67.0,0.0,0.0,0.0,0.0
148,Kamareddy,Sadasivanagar,1,0.606666667,22.19333333,65.58833333,0.0,0.0,0.0,0.0
149,Kamareddy,Tadwai,1,0.676666667,23.62166667,69.11,0.0,0.0,0.0,0.0
150,Kamareddy,Yellareddy,1,0.246666667,22.91333333,68.795,0.0,0.0,0.0,0.0
151,Karimnagar,Chigurumamidi,1,1.193333333,22.63,74.205,0.0,0.0,0.0,0.0
152,Karimnagar,Choppadandi,1,2.306666667,23.60333333,78.715,0.0,0.0,0.0,0.0
153,Karimnagar,Ellandakunta,1,4.12,24.28166667,76.91666667,0.0,0.0,0.0,0.0
154,Karimnagar,Gangadhara,1,1.843333333,22.505,72.15833333,0.0,0.0,0.0,0.0
155,Karimnagar,Gannervaram,1,1.013333333,23.225,73.72166667,0.0,0.0,0.0,0.0
156,Karimnagar,Huzurabad,1,2.18,23.57,76.01333333,0.0,0.0,0.0,0.0
157,Karimnagar,Huzurabad,1,2.73,23.70666667,71.06833333,0.0,0.0,0.0,0.0
158,Karimnagar,Jammikunta,1,2.233333333,23.31,71.545,0.0,0.0,0.0,0.0
159,Karimnagar,Karimnagar,1,1.103333333,22.78666667,73.215,0.0,0.0,0.0,0.0
160,Karimnagar,Karimnagar_Rural,1,1.14,22.45333333,73.24666667,0.0,0.0,0.0,0.0
161,Karimnagar,Kothapalle,1,1.676666667,22.675,74.65666667,0.0,0.0,0.0,0.0
162,Karimnagar,Manakondur,1,1.963333333,22.57,76.64333333,0.0,0.0,0.0,0.0
163,Karimnagar,Ramadugu,1,2.45,22.59833333,75.99666667,0.0,0.0,0.0,0.0
164,Karimnagar,Shankarapatnam,1,0.713333333,22.82833333,75.405,0.0,0.0,0.0,0.0
165,Karimnagar,Thimmapur,1,1.2,22.60833333,77.35333333,0.0,0.0,0.0,0.0
166,Karimnagar,V_Saidapur,1,2.443333333,24.09333333,65.83333333,0.0,0.0,0.0,0.0
167,Karimnagar,Veenavanka,1,0.543333333,25.25166667,69.115,0.0,0.0,0.0,0.0
168,Khammam,Bonakal,1,1.113333333,24.96666667,74.625,0.0,0.0,0.0,0.0
169,Khammam,Chinthakani,1,0.453333333,24.30666667,71.72833333,0.0,0.0,0.0,0.0
170,Khammam,Enkuru,1,1.553333333,25.0,73.545,0.0,0.0,0.0,0.0
171,Khammam,Kalluru,1,1.53,25.05666667,76.25,0.0,0.0,0.0,0.0
172,Khammam,Kamepalle,1,1.103333333,24.60666667,73.37666667,0.0,0.0,0.0,0.0
173,Khammam,Khammam_Rural,1,1.26,25.13833333,71.795,0.0,0.0,0.0,0.0
174,Khammam,Khammam_Urban,1,0.246666667,25.125,73.88166667,0.0,0.0,0.0,0.0
175,Khammam,Konijerla,1,1.633333333,25.305,77.09666667,0.0,0.0,0.0,0.0
176,Khammam,Kusumanchi,1,0.833333333,25.11833333,74.61,0.0,0.0,0.0,0.0
177,Khammam,Madhira,1,0.076666667,25.67833333,74.69333333,0.0,0.0,0.0,0.0
178,Khammam,Mudigonda,1,0.34,25.75333333,75.02333333,0.0,0.0,0.0,0.0
179,Khammam,Nelakondapalle,1,0.286666667,26.02166667,74.68666667,0.0,0.0,0.0,0.0
180,Khammam,Penuballi,1,2.013333333,25.30333333,72.93333333,0.0,0.0,0.0,0.0
181,Khammam,Raghunadhapalem,1,1.203333333,24.19666667,74.26333333,0.0,0.0,0.0,0.0
182,Khammam,Sathupalle,1,1.31,24.54333333,74.105,0.0,0.0,0.0,0.0
183,Khammam,Singareni,1,1.16,24.3,75.10666667,0.0,0.0,0.0,0.0
184,Khammam,Thallada,1,0.406666667,24.875,73.55666667,0.0,0.0,0.0,0.0
185,Khammam,Thirumalayapalem,1,1.966666667,24.21333333,75.11833333,0.0,0.0,0.0,0.0
186,Khammam,Vemsoor,1,1.19,24.26833333,72.39833333,0.0,0.0,0.0,0.0
187,Khammam,Wyra,1,0.423333333,25.465,76.61666667,0.0,0.0,0.0,0.0
188,Khammam,Wyra,1,0.173333333,24.465,71.30666667,0.0,0.0,0.0,0.0
189,Khammam,Yerrupalem,1,2.543333333,21.78,75.44,0.0,0.0,0.0,0.0
190,Kumuram Bheem,Asifabad,1,1.536666667,22.03333333,72.5,0.0,0.0,0.0,0.0
191,Kumuram Bheem,Bejjur,1,1.87,21.66833333,75.23666667,0.0,0.0,0.0,0.0
192,Kumuram Bheem,Chintalamanepally,1,1.003333333,22.565,75.59666667,0.0,0.0,0.0,0.0
193,Kumuram Bheem,Dahegaon,1,3.193333333,20.75833333,74.22666667,0.0,0.0,0.0,0.0
194,Kumuram Bheem,Jainoor,1,1.186666667,21.57333333,73.79333333,0.0,0.0,0.0,0.0
195,Kumuram Bheem,Kagaznagar,1,3.813333333,21.43166667,73.66333333,0.0,0.0,0.0,0.0
196,Kumuram Bheem,Kerameri,1,1.54,22.46833333,76.515,0.0,0.0,0.0,0.0
197,Kumuram Bheem,Kouthala,1,1.2,21.56833333,74.78166667,0.0,0.0,0.0,0.0
198,Kumuram Bheem,Lingapur,1,1.0,21.76333333,72.815,0.0,0.0,0.0,0.0
199,Kumuram Bheem,Penchikalpet,1,2.303333333,21.57166667,74.99333333,0.0,0.0,0.0,0.0
200,Kumuram Bheem,Rebbana,1,1.68,21.6,74.92333333,0.0,0.0,0.0,0.0
201,Kumuram Bheem,Sirpur_T,1,1.503333333,20.36166667,74.47,0.0,0.0,0.0,0.0
202,Kumuram Bheem,Sirpur_U,1,1.573333333,20.005,72.45333333,0.0,0.0,0.0,0.0
203,Kumuram Bheem,Tiryani,1,2.12,20.87,74.23333333,0.0,0.0,0.0,0.0
204,Kumuram Bheem,Wankdi,1,0.563333333,21.865,72.425,0.0,0.0,0.0,0.0
205,Mahabubabad,Bayyaram,1,1.003333333,24.09833333,67.83166667,0.0,0.0,0.0,0.0
206,Mahabubabad,Chinnagudur,1,1.533333333,23.42333333,69.815,0.0,0.0,0.0,0.0
207,Mahabubabad,Danthalapalle,1,1.363333333,23.5,75.79,0.0,0.0,0.0,0.0
208,Mahabubabad,Dornakal,1,2.743333333,23.94666667,73.63166667,0.0,0.0,0.0,0.0
209,Mahabubabad,Ganagavaram,1,1.946666667,23.84333333,74.88833333,0.0,0.0,0.0,0.0
210,Mahabubabad,Garla,1,2.936666667,23.49833333,75.62166667,0.0,0.0,0.0,0.0
211,Mahabubabad,Gudur,1,4.543333333,22.85333333,74.99333333,0.0,0.0,0.0,0.0
212,Mahabubabad,Kesamudram,1,3.58,23.24666667,72.07,0.0,0.0,0.0,0.0
213,Mahabubabad,Kothaguda,1,3.033333333,22.925,76.505,0.0,0.0,0.0,0.0
214,Mahabubabad,Kuravi,1,2.76,24.43,72.18666667,0.0,0.0,0.0,0.0
215,Mahabubabad,Mahabubabad,1,1.593333333,24.06,70.48,0.0,0.0,0.0,0.0
216,Mahabubabad,Maripeda,1,3.74,24.03333333,75.735,0.0,0.0,0.0,0.0
217,Mahabubabad,Narsimhulapet,1,0.956666667,24.00666667,72.765,0.0,0.0,0.0,0.0
218,Mahabubabad,Nellikudur,1,1.466666667,23.42833333,72.06333333,0.0,0.0,0.0,0.0
219,Mahabubabad,Nellikudur,1,1.826666667,23.37,77.73833333,0.0,0.0,0.0,0.0
220,Mahabubabad,Peddavangara,1,1.863333333,23.64166667,73.645,0.0,0.0,0.0,0.0
221,Mahabubabad,Thorrur,1,0.423333333,24.22666667,68.76666667,0.0,0.0,0.0,0.0
222,Mahabubnagar,Addakal,1,0.006666667,23.73,63.42333333,0.0,0.0,0.0,0.0
223,Mahabubnagar,Balanagar,1,0.57,23.55,68.49333333,0.0,0.0,0.0,0.0
224,Mahabubnagar,Bhoothpur,1,0.476666667,23.67333333,66.125,0.0,0.0,0.0,0.0
225,Mahabubnagar,Chinna_Chintha_Kunta,1,0.133333333,23.46,61.68333333,0.0,0.0,0.0,0.0
226,Mahabubnagar,Devarkadara,1,0.0,23.535,68.185,0.0,0.0,0.0,0.0
227,Mahabubnagar,Gandeed,1,0.013333333,23.16,71.55166667,0.0,0.0,0.0,0.0
228,Mahabubnagar,Hanwada,1,0.606666667,22.66,69.25,0.0,0.0,0.0,0.0
229,Mahabubnagar,Jadcherla,1,0.193333333,23.065,63.38833333,0.0,0.0,0.0,0.0
230,Mahabubnagar,Koilkonda,1,0.016666667,23.64833333,64.45166667,0.0,0.0,0.0,0.0
231,Mahabubnagar,Mahabubnagar_Rural,1,0.006666667,24.39333333,65.08166667,0.0,0.0,0.0,0.0
232,Mahabubnagar,Mahabubnagar_Urban,1,0.203333333,23.195,66.215,0.0,0.0,0.0,0.0
233,Mahabubnagar,Midjil,1,0.21,22.58833333,66.67666667,0.0,0.0,0.0,0.0
234,Mahabubnagar,Mohammamdabad,1,1.066666667,24.22666667,66.70833333,0.0,0.0,0.0,0.0
235,Mahabubnagar,Musapet,1,0.046666667,23.99166667,67.895,0.0,0.0,0.0,0.0
236,Mahabubnagar,Nawabpet,1,0.0,22.64,64.51166667,0.0,0.0,0.0,0.0
237,Mahabubnagar,Rajapur,1,0.593333333,22.84166667,64.38,0.0,0.0,0.0,0.0
